"dates","DOY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP","SNOWDENS"
2018-07-01,182,0,17.676937003484,17.5787321494983,97.5882320962231,98.1947904608716,0.79089368394755,0.889822876393229,0,0,0,53.7116373665559,281.508996828598,13.6211223008043,0,0,0,0,0.2178
2018-07-01 01:00:00,182,60,18.7221821355292,18.5939007615836,94.8432180118389,95.6078124292969,0.933336038478267,1.05008267894483,0,0,0,45.7024992244676,307.091663236936,14.5830440099386,0,0,0,0,0.2178
2018-07-01 02:00:00,182,120,18.8857317668233,18.7078018715055,94.3713698828914,95.4271075868351,0.989309211849485,1.11305727482407,0,0,0,41.4893803377441,396.300957325996,14.6728317915559,0,0,0,0,0.2178
2018-07-01 03:00:00,182,180,19.2583620704038,19.0630200450876,90.0939198168146,91.1979004620819,0.899662239471426,1.01219678189,0,0,0,42.2278392839004,388.610985685604,15.0415769435018,0,0,0,0,0.2178
2018-07-01 04:00:00,182,240,18.8618280306891,18.6163419348691,91.3103873260002,92.7233449765495,0.878112684846332,0.987951694249669,0,0,0,47.6878664662997,389.327853216185,14.6728356459569,0,0,0,0,0.2178
2018-07-01 05:00:00,182,300,19.3707398012243,19.1700791818224,89.5458144349063,90.672177084983,0.858952163165674,0.966394472512887,0,0,0,56.5136321714927,295.331349988288,15.241820386587,0,0,0,0,0.2178
2018-07-01 06:00:00,182,360,18.8307537106377,18.6553023170337,94.1906653496524,95.2300587721794,0.916920623338542,1.03161393628917,0,0,0,67.3896765776985,111.973365885262,14.7524723097077,0,0,0,0,0.2178
2018-07-01 07:00:00,182,420,17.4084722176003,17.2123316194694,98.7670463989793,100,0.786332192033462,0.884690808786646,0,0,0,79.4707201518259,27.2993573837479,13.3398361315651,0,0,0,0,0.2178
2018-07-01 08:00:00,182,480,17.5514459824929,17.4290605654682,99.2299592816558,100,0.838433859849733,0.943309630585498,0,0,0,90,0,13.5554638668342,0,0,0,0,0.2178
2018-07-01 09:00:00,182,540,17.9589084266299,17.8861721606176,99.5431679125362,100,0.806943303651069,0.907880067972154,0,0,0,90,0,14.0067486260222,0,0,0,0,0.2178
2018-07-01 10:00:00,182,600,17.8363492265961,17.7547320673448,99.2758439575824,99.7877274477208,0.588006439663937,0.661557415489747,0,0,0,90,0,13.8769840087018,0,0,0,0,0.2178
2018-07-01 11:00:00,182,660,18.0260584604781,17.9665546025809,98.6214082667366,98.9913043244213,0.633574111828883,0.712824934676365,0,0,0,90,0,14.0861064277702,0,0,0,0,0.2178
