"dates","DOY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP","SNOWDENS"
2020-07-01,183,0,22.3621496519358,22.3556407730654,80.0737880597824,80.1054976774729,3.05634998935219,3.4386545170212,0,0,0,53.0597307861889,210.322648642608,18.3541958892654,0,0,0,0,0.2178
2020-07-01 01:00:00,183,60,23.5178239803298,23.4910114521672,76.9656380240962,77.0901703805331,3.24000251007023,3.64527927273619,0,0,0,44.8465057990574,261.272027258554,19.5295408023417,0,0,0,0,0.2178
2020-07-01 02:00:00,183,120,23.0586163565666,22.9963911030313,79.6043077115538,79.9046407411001,3.25741213467425,3.66486658586879,0,0,0,40.4528102878921,261.622046436745,19.0162673460478,0,0,0,0,0.2178
2020-07-01 03:00:00,183,180,23.1295800960051,23.0624293943974,78.2579204596383,78.5764246524247,3.09242010855245,3.47923647875647,0,0,0,41.1257033977495,297.418360760615,19.0562278591445,0,0,0,0,0.2178
2020-07-01 04:00:00,183,240,23.4293717692807,23.3729963555185,77.0272855210747,77.2897754919492,3.10197014795594,3.48998108792981,0,0,0,46.6459361104441,247.406371628351,19.4238359350842,0,0,0,0,0.2178
2020-07-01 05:00:00,183,300,22.6115254922309,22.5367399831582,79.5922511975975,79.9545492536686,3.07209082390987,3.45636429896438,0,0,0,55.5838523141444,192.505445747207,18.6105786679233,0,0,0,0,0.2178
2020-07-01 06:00:00,183,360,22.7211147120153,22.6738335890272,79.4122391993344,79.6403672265993,2.96571960614723,3.33668760299865,0,0,0,66.5705571427331,119.244857861435,18.7385173921767,0,0,0,0,0.2178
2020-07-01 07:00:00,183,420,21.2872367709936,21.2176534012317,85.8542513931912,86.2215318332005,2.98349395349829,3.35668526034115,0,0,0,78.744478659418,30.6059169723441,17.2971162229166,0,0,0,0,0.2178
2020-07-01 08:00:00,183,480,20.8014166009936,20.7462955712916,87.8260905459036,88.1246861469236,2.68078440284385,3.0161111875649,0,0,0,90,0,16.8400087643834,0,0,0,0,0.2178
2020-07-01 09:00:00,183,540,20.7631832479881,20.7198079430962,88.9203364047667,89.158205266676,2.51134190058567,2.82547391506818,0,0,0,90,0,16.8179118126571,0,0,0,0,0.2178
2020-07-01 10:00:00,183,600,20.4811828232858,20.4351969391671,89.1734297561005,89.4269074919963,2.74004012683686,3.08277893297291,0,0,0,90,0,16.5398262249654,0,0,0,0,0.2178
